title,description,r,g,b,
中粒質還元型グライ低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である還元型グライ低地土。,5,21,255,
粗粒質還元型グライ低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である還元型グライ低地土。,5,23,255,
斑鉄型グライ低地土,土壌表面から25cm以深のグライ層に「含む」以上の斑鉄があるグライ低地土。還元型グライ低地土よりもやや酸化的である。,7,15,255,
礫質斑鉄型グライ低地土,土壌表面から60cm以内に礫層または岩盤が現れる斑鉄型グライ低地土。,7,17,255,
細粒質斑鉄型グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である斑鉄型グライ低地土。,7,19,255,
中粒質斑鉄型グライ低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である斑鉄型グライ低地土。,7,21,255,
粗粒質斑鉄型グライ低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である斑鉄型グライ低地土。,7,23,255,
表層灰色グライ低地土,土壌表面から25-50cmの間にグライ層よりも酸化的な「地下水湿性特徴」が現れるグライ低地土。,9,15,255,
礫質表層灰色グライ低地土,土壌表面から60cm以内に礫層または岩盤が現れる表層灰色グライ低地土。,9,17,255,
細粒質表層灰色グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である表層灰色グライ低地土。,9,19,255,
中粒質表層灰色グライ低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である表層灰色グライ低地土。,9,21,255,
粗粒質表層灰色グライ低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である表層灰色グライ低地土。,9,23,255,
泥炭質グライ低地土,表層100cm以内に積算して25cm以上の「泥炭物質」からなる層があるグライ低地土。 ,11,15,255,
細粒質泥炭質グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である泥炭質グライ低地土。,11,17,255,
中粒質泥炭質グライ低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である泥炭質グライ低地土。,11,19,255,
粗粒質泥炭質グライ低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である泥炭質グライ低地土。,11,21,255,
腐植質グライ低地土,表層に有機物を多く含む「腐植質表層」または「多腐植質表層」をもつ グライ低地土。,13,15,255,
礫質腐植質グライ低地土,土壌表面から60cm以内に礫層または岩盤が現れる腐植質グライ低地土。,13,17,255,
細粒質腐植質グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質グライ低地土。,13,19,255,
中粗粒質腐植質グライ低地土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質グライ低地土。,13,21,255,
硫酸酸性質グライ低地土,硫化物を含む湖沼成・海成堆積物からなり、強い酸性を示すグライ低地土。,15,15,255,
細粒質硫酸酸性質グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である硫酸酸性質グライ低地土。,15,17,255,
典型硫酸酸性質グライ低地土,典型的な硫酸酸性質グライ低地土。,15,19,255,
灰色低地土,中間的な湿性状態の沖積地の土壌。,0,3,168,
表層グライ化灰色低地土,水稲耕作下で灌漑水によって生成し、落水後も維持され作土から下方へ発達しているグライ層をもつ灰色低地土。,2,3,168,
礫質表層グライ化灰色低地土,土壌表面から60cm以内に礫層または岩盤が現れる表層グライ化灰色低地土。,2,5,168,
細粒質表層グライ化灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である表層グライ化灰色低地土。,2,7,168,
中粗粒質表層グライ化灰色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である表層グライ化灰色低地土。,2,9,168,
グライ化灰色低地土,土壌表面から50-75cmに地下水によって生成するグライ層の上端が現れる灰色低地土。,4,3,168,
礫質グライ化灰色低地土,土壌表面から60cm以内に礫層または岩盤が現れるグライ化灰色低地土。,4,5,168,
細粒質グライ化灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土であるグライ化灰色低地土。,4,7,168,
中粒質グライ化灰色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土であるグライ化灰色低地土。,4,9,168,
粗粒質グライ化灰色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土であるグライ化灰色低地土。,4,11,168,
下層黒ボク灰色低地土,土壌表面から100cm以内に積算して厚さ25cm以上の「黒ボク特徴」を示す層をもつ灰色低地土。,6,3,168,
細粒質下層黒ボク灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である下層黒ボク灰色低地土。,6,5,168,
典型下層黒ボク灰色低地土,典型的な下層黒ボク灰色低地土。,6,7,168,
泥炭質灰色低地土,表層100cm以内に積算して25cm以上の「泥炭物質」からなる層がある灰色低地土。,8,3,168,
礫質泥炭質灰色低地土,土壌表面から60cm以内に礫層または岩盤が現れる泥炭質灰色低地土。,8,5,168,
細粒質泥炭質灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である泥炭質灰色低地土。,8,7,168,
中粗粒質泥炭質灰色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である泥炭質灰色低地土。,8,9,168,
腐植質灰色低地土,表層に有機物を多く含む「腐植質表層」または「多腐植質表層」をもつ 灰色低地土。,10,3,168,
礫質腐植質灰色低地土,土壌表面から60cm以内に礫層または岩盤が現れる腐植質灰色低地土。,10,5,168,
細粒質腐植質灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質灰色低地土。,10,7,168,
中粗粒質腐植質灰色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質灰色低地土。,10,9,168,
硫酸酸性質灰色低地土,硫化物を含む湖沼成・海成堆積物からなり、強い酸性を示す灰色低地土。,12,3,168,
細粒質硫酸酸性質灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である硫酸酸性質灰色低地土。,12,5,168,
典型硫酸酸性質灰色低地土,典型的な硫酸酸性質灰色低地土。,12,7,168,
普通灰色低地土,典型的な灰色低地土。,14,3,168,
礫質普通灰色低地土,土壌表面から60cm以内に礫層または岩盤が現れる普通灰色低地土。,14,5,168,
細粒質普通灰色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通灰色低地土。,14,7,168,
中粒質普通灰色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である普通灰色低地土。,14,9,168,
粗粒質普通灰色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である普通灰色低地土。,14,11,168,
褐色低地土,沖積低地の中では最も乾いた土地にある、黄褐色の次表層を持つ土壌。,0,132,168,
湿性褐色低地土,土壌表面から75cm以内にグライ層よりも酸化的な「地下水湿性特徴」が現れる褐色低地土。,2,132,168,
礫質湿性褐色低地土,土壌表面から60cm以内に礫層または岩盤が現れる湿性褐色低地土。,2,134,168,
細粒質湿性褐色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である湿性褐色低地土。,2,136,168,
中粒質湿性褐色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である湿性褐色低地土。,2,138,168,
粗粒質湿性褐色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である湿性褐色低地土。,2,140,168,
水田化褐色低地土,作土下方まで灰色化し斑鉄をもつ褐色低地土。,4,132,168,
礫質水田化褐色低地土,土壌表面から60cm以内に礫層または岩盤が現れる水田化褐色低地土。,4,134,168,
細粒質水田化褐色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田化褐色低地土。,4,136,168,
中粒質水田化褐色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である水田化褐色低地土。,4,138,168,
粗粒質水田化褐色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である水田化褐色低地土。,4,140,168,
腐植質褐色低地土,表層に有機物を多く含む「腐植質表層」または「多腐植質表層」をもつ 褐色低地土。,6,132,168,
礫質腐植質褐色低地土,土壌表面から60cm以内に礫層または岩盤が現れる腐植質褐色低地土。,6,134,168,
細粒質腐植質褐色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質褐色低地土。,6,136,168,
中粒質腐植質褐色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である腐植質褐色低地土。,6,138,168,
粗粒質腐植質褐色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である腐植質褐色低地土。,6,140,168,
普通褐色低地土,典型的な褐色低地土。,8,132,168,
礫質普通褐色低地土,土壌表面から60cm以内に礫層または岩盤が現れる普通褐色低地土。,8,134,168,
細粒質普通褐色低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通褐色低地土。,8,136,168,
中粒質普通褐色低地土,次表層の土性がシルト質壌土、壌土、細砂壌土である普通褐色低地土。,8,138,168,
粗粒質普通褐色低地土,次表層の土性が粗砂壌土、壌質砂土、砂土である普通褐色低地土。,8,140,168,
未熟低地土,未風化の土砂が堆積したままの土壌。,0,169,230,
湿性未熟低地土,土壌表面から75cm以内にグライ層よりも酸化的な「地下水湿性特徴」が現れる未熟低地土。,2,169,230,
礫質湿性未熟低地土,土壌表面から60cm以内に礫層または岩盤が現れる湿性未熟低地土。,2,171,230,
典型湿性未熟低地土,典型的な湿性未熟低地土。,2,173,230,
普通未熟低地土,典型的な未熟低地土。,4,169,230,
礫質普通未熟低地土,土壌表面から60cm以内に礫層または岩盤が現れる普通未熟低地土。,4,171,230,
典型普通未熟低地土,典型的な普通未熟低地土。,4,173,230,
粘土集積赤黄色土,「粘土集積層」をもつ赤黄色土。,255,0,0,
湿性粘土集積赤黄色土,土壌表面から50-75cmに「地下水湿性特徴」を示す層の上端が現れる粘土集積赤黄色土。,253,0,0,
岩盤質湿性粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる湿性粘土集積赤黄色土。,253,2,0,
礫質湿性粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる湿性粘土集積赤黄色土。,253,4,0,
細粒質湿性粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である湿性粘土集積赤黄色土。,253,6,0,
中粗粒質湿性粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である湿性粘土集積赤黄色土。,253,8,0,
疑似グライ化粘土集積赤黄色土,土壌表面から75cm以内に「疑似グライ層」の上端が現れる粘土集積赤黄色土。,251,0,0,
岩盤質疑似グライ化粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる疑似グライ化粘土集積赤黄色土。,251,2,0,
礫質疑似グライ化粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる疑似グライ化粘土集積赤黄色土。,251,4,0,
細粒質疑似グライ化粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である疑似グライ化粘土集積赤黄色土。,251,6,0,
中粗粒質疑似グライ化粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である疑似グライ化粘土集積赤黄色土。,251,8,0,
水田化粘土集積赤黄色土,「水田鉄集積層」をもつ粘土集積赤黄色土。,249,0,0,
岩盤質水田化粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる水田化粘土集積赤黄色土。,249,2,0,
礫質水田化粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる水田化粘土集積赤黄色土。,249,4,0,
細粒質水田化粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田化粘土集積赤黄色土。,249,6,0,
中粗粒質水田化粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である水田化粘土集積赤黄色土。,249,8,0,
腐植質粘土集積赤黄色土,「腐植質表層」または「多腐植質表層」をもつ粘土集積赤黄色土。,247,0,0,
岩盤質腐植質粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる腐植質粘土集積赤黄色土。,247,2,0,
礫質腐植質粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる腐植質粘土集積赤黄色土。,247,4,0,
細粒質腐植質粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質粘土集積赤黄色土。,247,6,0,
中粗粒質腐植質粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質粘土集積赤黄色土。,247,8,0,
灰白化粘土集積赤黄色土,「漂白層」をもつ粘土集積赤黄色土。,245,0,0,
岩盤質灰白化粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる灰白化粘土集積赤黄色土。,245,2,0,
礫質灰白化粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる灰白化粘土集積赤黄色土。,245,4,0,
細粒質灰白化粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である灰白化粘土集積赤黄色土。,245,6,0,
中粗粒質灰白化粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である灰白化粘土集積赤黄色土。,245,8,0,
赤色粘土集積赤黄色土,湿状態の土色が赤色の「粘土集積層」をもつ粘土集積赤黄色土。,243,0,0,
岩盤質赤色粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる赤色粘土集積赤黄色土。,243,2,0,
礫質赤色粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる赤色粘土集積赤黄色土。,243,4,0,
細粒質赤色粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である赤色粘土集積赤黄色土。,243,6,0,
中粗粒質赤色粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である赤色粘土集積赤黄色土。,243,8,0,
普通粘土集積赤黄色土,典型的な粘土集積赤黄色土。,241,0,0,
岩盤質普通粘土集積赤黄色土,土壌表面から60cm以内に岩盤が現れる普通粘土集積赤黄色土。,241,2,0,
礫質普通粘土集積赤黄色土,土壌表面から60cm以内に礫層が現れる普通粘土集積赤黄色土。,241,4,0,
細粒質普通粘土集積赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通粘土集積赤黄色土。,241,6,0,
中粗粒質普通粘土集積赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である普通粘土集積赤黄色土。,241,8,0,
風化変質赤黄色土,「粘土集積層」をもたず、「風化変質層」をもつ赤黄色土。,255,115,223,
湿性風化変質赤黄色土,土壌表面から50-75cmに「地下水湿性特徴」を示す層の上端が現れる風化変質赤黄色土。,253,115,223,
岩盤質湿性風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる湿性風化変質赤黄色土。,253,117,223,
礫質湿性風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる湿性風化変質赤黄色土。,253,119,223,
細粒質湿性風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である湿性風化変質赤黄色土。,253,121,223,
中粗粒質湿性風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である湿性風化変質赤黄色土。,253,123,223,
疑似グライ化風化変質赤黄色土,土壌表面から75㎝以内に「疑似グライ層」の上端が現れる風化変質赤黄色土。,251,115,223,
岩盤質疑似グライ化風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる疑似グライ化風化変質赤黄色土。,251,117,223,
礫質疑似グライ化風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる疑似グライ化風化変質赤黄色土。,251,119,223,
細粒質疑似グライ化風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である疑似グライ化風化変質赤黄色土。,251,121,223,
中粗粒質疑似グライ化風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である疑似グライ化風化変質赤黄色土。,251,123,223,
水田化風化変質赤黄色土,「水田鉄集積層」をもつ風化変質赤黄色土。,249,115,223,
岩盤質水田化風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる水田化風化変質赤黄色土。,249,117,223,
礫質水田化風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる水田化風化変質赤黄色土。,249,119,223,
細粒質水田化風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田化風化変質赤黄色土。,249,121,223,
中粗粒質水田化風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である水田化風化変質赤黄色土。,249,123,223,
腐植質風化変質赤黄色土,「腐植質表層」または「多腐植質表層」をもつ風化変質赤黄色土。,247,115,223,
岩盤質腐植質風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる腐植質風化変質赤黄色土。,247,117,223,
礫質腐植質風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる腐植質風化変質赤黄色土。,247,119,223,
細粒質腐植質風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質風化変質赤黄色土。,247,121,223,
中粗粒質腐植質風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質風化変質赤黄色土。,247,123,223,
灰白化風化変質赤黄色土,「漂白層」をもつ風化変質赤黄色土。,245,115,223,
岩盤質灰白化風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる灰白化風化変質赤黄色土。,245,117,223,
礫質灰白化風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる灰白化風化変質赤黄色土。,245,119,223,
細粒質灰白化風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である灰白化風化変質赤黄色土。,245,121,223,
中粗粒質灰白化風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である灰白化風化変質赤黄色土。,245,123,223,
赤色風化変質赤黄色土,湿状態の土色が赤色の「粘土集積層」をもつ風化変質赤黄色土。,243,115,223,
岩盤質赤色風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる赤色風化変質赤黄色土。,243,117,223,
礫質赤色風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる赤色風化変質赤黄色土。,243,119,223,
細粒質赤色風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である赤色風化変質赤黄色土。,243,121,223,
中粗粒質赤色風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である赤色風化変質赤黄色土。,243,123,223,
ばん土質風化変質赤黄色土,土壌表面から50cm以内にリン酸吸収係数1000mg P2O5/100g以上（リン酸保持量60％以上）の層が25cm以上ある風化変質赤黄色土。,241,115,223,
岩盤質ばん土質風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れるばんど質風化変質赤黄色土。,241,117,223,
礫質ばん土質風化変質赤黄色土,土壌表面から60cm以内に礫層が現れるばんど質風化変質赤黄色土。,241,119,223,
細粒質ばん土質風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土であるばんど質風化変質赤黄色土。,241,121,223,
中粗粒質ばん土質風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土であるばんど質風化変質赤黄色土。,241,123,223,
普通風化変質赤黄色土,典型的な風化変質赤黄色土。,239,115,223,
岩盤質普通風化変質赤黄色土,土壌表面から60cm以内に岩盤が現れる普通風化変質赤黄色土。,239,117,223,
礫質普通風化変質赤黄色土,土壌表面から60cm以内に礫層が現れる普通風化変質赤黄色土。,239,119,223,
細粒質普通風化変質赤黄色土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通風化変質赤黄色土。,239,121,223,
中粗粒質普通風化変質赤黄色土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である普通風化変質赤黄色土。,239,123,223,
停滞水グライ土,土壌表面から50cm以内に「グライ層」の上端が現れ、かつその層の下端が土壌表面から50cm以深まで及んでいるか、または岩盤まで及んでいる土壌。,115,255,223,
水田型停滞水グライ土,「水田逆グライ層」をもつ停滞水グライ土。,117,255,223,
岩盤質水田型停滞水グライ土,土壌表面から60cm以内に岩盤が現れる水田型停滞水グライ土。,117,253,223,
礫質水田型停滞水グライ土,土壌表面から60cm以内に礫層が現れる水田型停滞水グライ土。,117,251,223,
細粒質水田型停滞水グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田型停滞水グライ土。,117,249,223,
中粗粒質水田型停滞水グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である水田型停滞水グライ土。,117,247,223,
表層泥炭質停滞水グライ土,土壌表面から25cm以内に、積算して10cm以上の「泥炭物質」からなる層をもつ停滞水グライ土。,119,255,223,
岩盤質表層泥炭質停滞水グライ土,土壌表面から60cm以内に岩盤が現れる表層泥炭質停滞水グライ土。,119,253,223,
礫質表層泥炭質停滞水グライ土,土壌表面から60cm以内に礫層が現れる表層泥炭質停滞水グライ土。,119,251,223,
細粒質表層泥炭質停滞水グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である表層泥炭質停滞水グライ土。,119,249,223,
中粗粒質表層泥炭質停滞水グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である表層泥炭質停滞水グライ土。,119,247,223,
腐植質停滞水グライ土,「腐植質表層」または「多腐植質表層」をもつ停滞水グライ土。,121,255,223,
岩盤質腐植質停滞水グライ土,土壌表面から60cm以内に岩盤が現れる腐植質停滞水グライ土。,121,253,223,
礫質腐植質停滞水グライ土,土壌表面から60cm以内に礫層が現れる腐植質停滞水グライ土。,121,251,223,
細粒質腐植質停滞水グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質停滞水グライ土。,121,249,223,
中粗粒質腐植質停滞水グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質停滞水グライ土。,121,247,223,
普通停滞水グライ土,典型的な停滞水グライ土。,123,255,223,
岩盤質普通停滞水グライ土,土壌表面から60cm以内に岩盤が現れる普通停滞水グライ土。,123,253,223,
礫質普通停滞水グライ土,土壌表面から60cm以内に礫層が現れる普通停滞水グライ土。,123,251,223,
細粒質普通停滞水グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通停滞水グライ土。,123,249,223,
中粗粒質普通停滞水グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である普通停滞水グライ土。,123,247,223,
疑似グライ土,台地に分布し、緻密な下層をもつ排水の良くない土壌。,163,255,115,
地下水型疑似グライ土,土壌表面から50-75cmに、厚さ10cm以上の「地下水湿性特徴」または「グライ特徴」を示す層の上端が現れる疑似グライ土。,165,255,115,
岩盤質地下水型疑似グライ土,土壌表面から60cm以内に岩盤が現れる地下水型疑似グライ土。,165,253,115,
礫質地下水型疑似グライ土,土壌表面から60cm以内に礫層が現れる地下水型疑似グライ土。,165,251,115,
細粒質地下水型疑似グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である地下水型疑似グライ土。,165,249,115,
中粗粒質地下水型疑似グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である地下水型疑似グライ土。,165,247,115,
褐色疑似グライ土,土壌表面から30cm以内に「疑似グライ層」または厚さ10cm以上の「地下水湿性特徴」を示す層がみられない疑似グライ土。,167,255,115,
岩盤質褐色疑似グライ土,土壌表面から60cm以内に岩盤が現れる褐色疑似グライ土。,167,253,115,
礫質褐色疑似グライ土,土壌表面から60cm以内に礫層が現れる褐色疑似グライ土。,167,251,115,
細粒質褐色疑似グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である褐色疑似グライ土。,167,249,115,
中粗粒質褐色疑似グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である褐色疑似グライ土。,167,247,115,
水田化疑似グライ土,「水田鉄集積層」をもつ疑似グライ土。,169,255,115,
岩盤質水田化疑似グライ土,土壌表面から60cm以内に岩盤が現れる水田化疑似グライ土。,169,253,115,
礫質水田化疑似グライ土,土壌表面から60cm以内に礫層が現れる水田化疑似グライ土。,169,251,115,
細粒質水田化疑似グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である水田化疑似グライ土。,169,249,115,
中粗粒質水田化疑似グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である水田化疑似グライ土。,169,247,115,
腐植質疑似グライ土,「腐植質表層」または「多腐植質表層」をもつ疑似グライ土。,171,255,115,
岩盤質腐植質疑似グライ土,土壌表面から60cm以内に岩盤が現れる腐植質疑似グライ土。,171,253,115,
礫質腐植質疑似グライ土,土壌表面から60cm以内に礫層が現れる腐植質疑似グライ土。,171,251,115,
細粒質腐植質疑似グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である腐植質疑似グライ土。,171,249,115,
中粗粒質腐植質疑似グライ土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である腐植質疑似グライ土。,171,247,115,
普通疑似グライ土,典型的な疑似グライ土。,173,255,115,
岩盤質普通疑似グライ土,土壌表面から60cm以内に岩盤が現れる普通疑似グライ土。,173,253,115,
礫質普通疑似グライ土,土壌表面から60cm以内に礫層が現れる普通疑似グライ土。,173,251,115,
細粒質普通疑似グライ土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通疑似グライ土。,173,249,115,
