title,description,r,g,b,
典型埋没腐植質未熟黒ボク土,典型的な埋没腐植質未熟黒ボク土。,249,167,77,
普通未熟黒ボク土,典型的な未熟黒ボク土。,247,163,77,
盤層型普通未熟黒ボク土,土壌表面から60cm以内に盤層が現れる普通未熟黒ボク土。,247,165,77,
下層低地普通未熟黒ボク土,土壌表面から75cm以内に積算して厚さ25cm以上の「沖積堆積物」からなる層のをもつ普通未熟黒ボク土。,247,167,77,
下層黒ボク普通未熟黒ボク土,土壌表面から100cm以内に積算で25cm以上の「黒ボク特徴」を示す層をもつ普通未熟黒ボク土。,247,169,77,
典型普通未熟黒ボク土,典型的な普通未熟黒ボク土。,247,171,77,
グライ黒ボク土,地下水位の高い場所にある黒ボク土で、一年を通じて水で飽和されている層が50cm以内に出てくる土壌。,255,160,122,
泥炭質グライ黒ボク土　,土壌表面から100cm以内に積算して厚さ 25cm以上の湿生植物の遺体からなる層をもつグライ黒ボク土。,253,160,122,
多腐植質泥炭質グライ黒ボク土,「多腐植質表層」をもつ泥炭質グライ黒ボク土。,253,158,122,
典型泥炭質グライ黒ボク土,典型的な泥炭質グライ黒ボク土。,253,156,122,
厚層グライ黒ボク土　,表層に有機物を多く含み、かつ、層の厚さが50cmを超える「腐植質表層」または「多腐植質表層」をもつグライ黒ボク土。,251,160,122,
非アロフェン質厚層グライ黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ厚層グライ黒ボク土。,251,158,122,
多腐植質厚層グライ黒ボク土,「多腐植質表層」をもつ厚層グライ黒ボク土。,251,156,122,
腐植質厚層グライ黒ボク土,「腐植質表層」をもつ厚層グライ黒ボク土。,251,154,122,
普通グライ黒ボク土　,典型的なグライ黒ボク土。,249,160,122,
岩盤質普通グライ黒ボク土,土壌表面から60cm以内に岩盤が現れる普通グライ黒ボク土。,249,158,122,
礫質普通グライ黒ボク土,土壌表面から60cm以内に礫層が現れる普通グライ黒ボク土。,249,156,122,
多腐植質普通グライ黒ボク土,「多腐植質表層」をもつ普通グライ黒ボク土。,249,154,122,
典型普通グライ黒ボク土,典型的な普通グライ黒ボク土。,249,152,122,
多湿黒ボク土,地下水の影響で湿っている黒ボク土。,205,78,55,
下層台地多湿黒ボク土　,土壌表面から50cm以内に黒ボク土とは異なる台地土壌の上端が現れる多湿黒ボク土。,207,78,55,
多腐植質下層台地多湿黒ボク土,「多腐植質表層」をもつ下層台地多湿黒ボク土。,207,80,55,
典型下層台地多湿黒ボク土,典型的な下層台地多湿黒ボク土。,207,82,55,
下層低地多湿黒ボク土　,土壌表面から75cm以内に積算して25cm以上の河川氾濫堆積物（沖積堆積物）からなる層をもつ多湿黒ボク土。,209,78,55,
礫質下層低地多湿黒ボク土,土壌表面から60cm以内に礫層または岩盤が現れる下層低地多湿黒ボク土。,209,80,55,
多腐植質下層低地多湿黒ボク土,「多腐植質表層」をもつ下層低地多湿黒ボク土。,209,82,55,
典型下層低地多湿黒ボク土,典型的な下層低地多湿黒ボク土。,209,84,55,
泥炭質多湿黒ボク土　,土壌表面から100cm以内に積算して厚さ 25cm以上の湿生植物の遺体からなる層をもつ多湿黒ボク土。,211,78,55,
多腐植質泥炭質多湿黒ボク土,「多腐植質表層」をもつ泥炭質多湿黒ボク土。,211,80,55,
典型泥炭質多湿黒ボク土,典型的な泥炭質多湿黒ボク土。,211,82,55,
厚層多湿黒ボク土　,表層に有機物を多く含み、かつ、層の厚さが50cmを超える「腐植質表層」または「多腐植質表層」をもつ多湿黒ボク土。,213,78,55,
岩盤質厚層多湿黒ボク土,土壌表面から60cm以内に岩盤が現れる厚層多湿黒ボク土。,213,80,55,
礫質厚層多湿黒ボク土,土壌表面から60cm以内に礫層が現れる厚層多湿黒ボク土。,213,82,55,
非アロフェン質厚層多湿黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ厚層多湿黒ボク土。,213,84,55,
多腐植質厚層多湿黒ボク土,「多腐植質表層」をもつ厚層多湿黒ボク土。,213,86,55,
腐植質厚層多湿黒ボク土,「腐植質表層」をもつ厚層多湿黒ボク土。,213,88,55,
普通多湿黒ボク土　,典型的な多湿黒ボク土。,215,78,55,
岩盤質普通多湿黒ボク土,土壌表面から60cm以内に岩盤が現れる普通多湿黒ボク土。,215,80,55,
礫質普通多湿黒ボク土,土壌表面から60cm以内に礫層が現れる普通多湿黒ボク土。,215,82,55,
多腐植質普通多湿黒ボク土,「多腐植質表層」をもつ普通多湿黒ボク土。,215,84,55,
非アロフェン質普通多湿黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ普通多湿黒ボク土。,215,86,55,
典型普通多湿黒ボク土,典型的な普通多湿黒ボク土。,215,88,55,
褐色黒ボク土,森林下に出来る黒ボク土で、有機物含量は高いが、黒色味が弱く褐色の表層を持つ。,206,135,64,
厚層褐色黒ボク土,表層60cm以内に50cm以上の褐色で有機物含量が高い「褐色多腐植質黒ボク表層」をもつ褐色黒ボク土。,208,135,64,
岩盤質厚層褐色黒ボク土,土壌表面から60cm以内に岩盤が現れる厚層褐色黒ボク土。,208,137,64,
礫質厚層褐色黒ボク土,土壌表面から60cm以内に礫層が現れる厚層褐色黒ボク土。,208,139,64,
非アロフェン質厚層褐色黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ厚層褐色黒ボク土。,208,141,64,
典型厚層褐色黒ボク土,典型的な厚層褐色黒ボク土。,208,143,64,
埋没腐植質褐色黒ボク土,過去に表層であった層で、かつ、有機物が蓄積した「埋没腐植層」の上端が土壌表面から50cm以内に現れる褐色黒ボク土。,210,135,64,
岩盤質埋没腐植質褐色黒ボク土,土壌表面から60cm以内に岩盤が現れる埋没腐植質褐色黒ボク土。,210,137,64,
礫質埋没腐植質褐色黒ボク土,土壌表面から60cm以内に礫層が現れる埋没腐植質褐色黒ボク土。,210,139,64,
非アロフェン質埋没腐植質褐色黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ埋没腐植質褐色黒ボク土。,210,141,64,
典型埋没腐植質褐色黒ボク土,典型的な埋没腐植質褐色黒ボク土。,210,143,64,
普通褐色黒ボク土,典型的な褐色黒ボク土。,212,135,64,
岩盤質普通褐色黒ボク土,土壌表面から60cm以内に岩盤が現れる普通褐色黒ボク土。,212,137,64,
礫質普通褐色黒ボク土,土壌表面から60cm以内に礫層が現れる普通褐色黒ボク土。,212,139,64,
非アロフェン質普通褐色黒ボク土,土壌表面から50cm以内に積算して厚さ25cm以上の「非アロフェン質黒ボク特徴」を示す層をもつ普通褐色黒ボク土。,212,141,64,
典型普通褐色黒ボク土,典型的な普通褐色黒ボク土。,212,143,64,
非アロフェン質黒ボク土,結晶性粘土を含む黒ボク土。,137,90,68,
水田化非アロフェン質黒ボク土,水田利用による湛水期間中に代かき層から還元溶脱した鉄が下部の酸化的な層で酸化沈殿して形成された「水田鉄集積層」をもつ非アロフェン質黒ボク土。,139,90,68,
岩盤質水田化非アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる水田化非アロフェン質黒ボク土。,139,92,68,
礫質水田化非アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる水田化非アロフェン質黒ボク土。,139,94,68,
下層低地水田化非アロフェン質黒ボク土,土壌表面から75cm以内に積算して厚さ25cm以上の「沖積堆積物」からなる層をもつ水田化非アロフェン質黒ボク土。,139,96,68,
厚層水田化非アロフェン質黒ボク土,厚さ50cm以上の「腐植質表層」または「多腐植質表層」をもつ水田化非アロフェン質黒ボク土。,139,98,68,
典型水田化非アロフェン質黒ボク土,典型的な水田化非アロフェン質黒ボク土。,139,100,68,
厚層非アロフェン質黒ボク土,表層に有機物を多く含み、かつ、層の厚さが50cmを超える「腐植質表層」または「多腐植質表層」をもつ非アロフェン質黒ボク土。,141,90,68,
多腐植質厚層非アロフェン質黒ボク土,「多腐植質表層」をもつ厚層非アロフェン質黒ボク土。,141,92,68,
腐植質厚層非アロフェン質黒ボク土,「腐植質表層」をもつ厚層非アロフェン質黒ボク土。,141,94,68,
埋没腐植質非アロフェン質黒ボク土,過去に表層であった層で、かつ、有機物が蓄積した「埋没腐植層」の上端が土壌表面から50cm以内に現れる非アロフェン質黒ボク土。,143,90,68,
岩盤質埋没腐植質非アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる埋没腐植質非アロフェン質黒ボク土。,143,92,68,
礫質埋没腐植質非アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる埋没腐植質非アロフェン質黒ボク土。,143,94,68,
典型埋没腐植質非アロフェン質黒ボク土,典型的な埋没腐植質非アロフェン質黒ボク土。,143,96,68,
普通非アロフェン質黒ボク土,典型的な非アロフェン質黒ボク土。,145,90,68,
岩盤質普通非アロフェン質黒ボク土,土壌表面から60cm以内に岩盤が現れる普通非アロフェン質黒ボク土。,145,92,68,
礫質普通非アロフェン質黒ボク土,土壌表面から60cm以内に礫層が現れる普通非アロフェン質黒ボク土。,145,94,68,
下層低地普通非アロフェン質黒ボク土,土壌表面から75cm以内に積算して厚さ25cm以上の「沖積堆積物」からなる層をもつ普通非アロフェン質黒ボク土。,145,96,68,
淡色普通非アロフェン質黒ボク土,「腐植質表層」または「多腐植質表層」をもたない普通非アロフェン質黒ボク土。,145,98,68,
多腐植質普通非アロフェン質黒ボク土,「多腐植質表層」をもつ普通非アロフェン質黒ボク土。,145,100,68,
